city,latitude,longitude,date,weather_code,temperature_max,temperature_min,precipitation_sum,precipitation_probability,wind_speed_max,wind_gusts_max,temperature_category,precipitation_category,wind_category,risk_score,risk_level
Al Hoceïma,35.2472,-3.9322,2026-09-16,3,28.7,19.9,0.0,0,13.0,25.2,Normal,No Rain,Low,1.0,Very Low
Qasbat Tadla,32.6,-6.26,2026-09-15,2,38.8,22.9,0.0,3,19.5,35.6,Extreme Heat,No Rain,Moderate,17.215,Very Low
Qasbat Tadla,32.6,-6.26,2026-09-16,0,34.3,18.7,0.0,0,14.6,27.7,Hot,No Rain,Moderate,4.5,Very Low
Aziylal,31.96,-6.5600000000000005,2026-09-15,3,30.4,19.7,0.1,5,22.9,49.3,Hot,Light,Moderate,15.025,Very Low
Aziylal,31.96,-6.5600000000000005,2026-09-16,0,26.6,16.0,0.0,0,18.8,39.2,Normal,No Rain,Moderate,5.4,Very Low
Boujad,32.7741,-6.3925,2026-09-15,3,36.8,23.7,0.0,3,21.2,38.5,Extreme Heat,No Rain,Moderate,20.815,Low
Boujad,32.7741,-6.3925,2026-09-16,1,32.6,18.5,0.0,0,16.7,31.3,Hot,No Rain,Moderate,10.9,Very Low
Al Aaroui,35.0104,-3.0073,2026-09-15,45,29.1,18.2,0.0,0,16.9,29.2,Normal,No Rain,Moderate,6.0,Very Low
Al Aaroui,35.0104,-3.0073,2026-09-16,3,32.9,18.0,0.0,0,15.9,27.4,Hot,No Rain,Moderate,5.5,Very Low
Mrirt,33.1654,-5.5634,2026-09-15,3,33.6,19.7,0.0,0,20.3,40.7,Hot,No Rain,Moderate,14.5,Very Low
Mrirt,33.1654,-5.5634,2026-09-16,3,30.0,14.7,0.0,0,18.5,37.1,Normal,No Rain,Moderate,10.9,Very Low
Tineghir,31.5147,-5.5328,2026-09-15,61,32.1,20.8,0.7000000000000001,38,42.1,66.6,Hot,Light,Strong,39.49,Low
Tineghir,31.5147,-5.5328,2026-09-16,2,31.4,18.3,0.0,5,32.6,51.5,Hot,No Rain,Strong,22.225,Low
Bouknadel,34.1766,-6.6893,2026-09-15,45,26.3,21.0,0.0,0,15.1,26.3,Normal,No Rain,Moderate,6.0,Very Low
Bouknadel,34.1766,-6.6893,2026-09-16,2,25.4,20.8,0.0,0,18.5,32.0,Normal,No Rain,Moderate,6.4,Very Low
Cabo Bojador,26.1269,-14.4992,2026-09-15,2,33.3,24.4,0.0,0,25.4,43.9,Hot,No Rain,Moderate,14.5,Very Low
Cabo Bojador,26.1269,-14.4992,2026-09-16,0,28.9,21.9,0.0,0,26.8,48.6,Normal,No Rain,Moderate,9.0,Very Low
Zagora,30.3316,-5.8376,2026-09-15,3,36.9,26.2,0.0,5,23.1,38.5,Extreme Heat,No Rain,Moderate,21.025,Low
Zagora,30.3316,-5.8376,2026-09-16,2,37.2,23.3,0.0,3,11.0,20.2,Extreme Heat,No Rain,Low,11.815,Very Low
Azemmour,33.2833,-8.3333,2026-09-15,45,28.8,21.1,0.0,0,17.9,32.8,Normal,No Rain,Moderate,11.4,Very Low
Azemmour,33.2833,-8.3333,2026-09-16,45,26.3,20.1,0.0,0,18.8,34.2,Normal,No Rain,Moderate,11.4,Very Low
El Hajeb,33.6928,-5.3711,2026-09-15,1,32.1,21.6,0.0,0,20.9,43.2,Hot,No Rain,Moderate,14.5,Very Low
El Hajeb,33.6928,-5.3711,2026-09-16,2,28.5,17.9,0.0,0,19.2,40.3,Normal,No Rain,Moderate,6.4,Very Low
Jerada,34.31,-2.16,2026-09-15,3,30.7,19.2,0.0,0,18.6,34.9,Hot,No Rain,Moderate,10.9,Very Low
Jerada,34.31,-2.16,2026-09-16,0,29.1,18.0,0.0,0,23.5,44.3,Normal,No Rain,Moderate,9.0,Very Low
El Aïoun,34.5726,-2.5127,2026-09-15,3,32.0,16.8,0.0,0,14.0,24.1,Hot,No Rain,Low,5.5,Very Low
El Aïoun,34.5726,-2.5127,2026-09-16,0,32.1,15.7,0.0,0,22.5,38.5,Hot,No Rain,Moderate,13.5,Very Low
Tameslouht,31.5,-8.1,2026-09-15,3,36.6,25.5,0.0,8,18.0,32.8,Extreme Heat,No Rain,Moderate,17.74,Very Low
Tameslouht,31.5,-8.1,2026-09-16,1,34.0,21.4,0.0,0,18.8,31.3,Hot,No Rain,Moderate,10.9,Very Low
